Date,Open,High,Low,Close,Volume
1999-03-10,43.3466,43.3734,42.6342,43.2932,12341014
1999-03-11,43.6069,43.8567,42.6525,43.4977,22856485
1999-03-12,43.3457,43.3724,42.1014,42.4471,20624340
1999-03-15,42.7595,43.7109,42.3081,43.6631,15025284
1999-03-16,43.8498,44.22,43.3724,44.0379,11571731
1999-03-17,44.034,44.0889,43.5828,43.7139,9353358
1999-03-18,43.6658,44.592,43.6542,44.5647,11437095
1999-03-19,45.15,45.15,43.3975,43.4281,16890299
1999-03-22,43.6049,43.7099,42.8094,42.8898,11854402
1999-03-23,42.6555,42.8123,41.3066,41.3851,25859941
1999-03-24,41.7609,42.8163,41.1225,42.7917,19924389
1999-03-25,43.4508,44.3473,43.1677,44.3473,19188203
1999-03-26,43.981,44.4835,43.6894,43.8725,19476352
1999-03-29,44.4041,45.4905,44.1388,45.4663,12063370
1999-03-30,45.4092,45.7804,44.9541,45.1441,11655731
1999-03-31,45.8872,45.9359,44.3453,44.4805,19478627
1999-04-01,45.7852,45.8372,44.6693,45.4152,20559741
1999-04-05,46.1475,47.1234,45.8656,47.0561,13439528
1999-04-06,46.9952,47.661,46.6017,47.146,17746607
1999-04-07,47.5815,47.6863,45.6453,46.6537,28129515
1999-04-08,46.5735,47.2537,45.6179,47.0285,18760023
1999-04-09,46.9433,47.4183,46.8112,47.3124,11670292
1999-04-12,46.2062,47.3184,46.1524,47,25792156
1999-04-13,47.2935,47.3996,45.9948,46.3679,23498914
1999-04-14,46.9512,47.001,44.5235,44.7798,50133780
1999-04-15,44.9308,45.4593,43.3428,45.3877,41637333
1999-04-16,45.2762,45.2762,43.8186,44.0644,40748337
1999-04-19,44.3463,44.7203,41.5476,41.9901,45910253
1999-04-20,41.8051,43.2892,41.4123,42.9446,41079186
1999-04-21,43.3389,45.0884,42.7585,45.0608,25810208
1999-04-22,45.4895,46.4176,45.1899,46.2895,32154802
1999-04-23,46.0428,47.2428,45.57,46.8925,16664606
1999-04-26,47.2106,48.3265,47.0638,47.9763,12787952
1999-04-27,48.3275,48.5654,46.6419,47.2438,38881582
1999-04-28,46.8465,47.002,45.4242,45.6229,18107883
1999-04-29,45.4102,45.6708,44.2962,45.2479,45172700
1999-04-30,45.8909,46.127,43.9253,45.5453,36081244
1999-05-03,45.4132,45.5934,44.546,45.3029,26207659
1999-05-04,45.3858,46.0984,44.3218,44.59,36397048
1999-05-05,44.6154,45.9379,43.2625,45.9379,29824579
1999-05-06,45.5199,45.9195,43.8488,44.275,35791201
1999-05-07,44.6693,45.0412,43.7149,44.9101,38757722
1999-05-10,45.1937,45.6599,44.6664,45.3605,25015798
1999-05-11,45.7226,46.3118,45.4643,46.0702,20762317
1999-05-12,46.2895,47.1861,44.9298,47.0285,29505448
1999-05-13,47.3966,47.4799,45.9409,46.1515,23268490
1999-05-14,45.2489,45.7834,44.9298,45.2742,28793004
1999-05-17,44.878,46.2297,44.4354,46.0887,23371062
1999-05-18,46.0478,46.3178,45.3675,45.8959,21860289
1999-05-19,46.0772,46.5508,45.3655,46.5253,18836626
1999-05-20,46.6193,46.6193,45.1687,45.2381,14148193
1999-05-21,45.3897,45.518,44.5929,44.8307,25850184
1999-05-24,44.9071,44.9835,43.3938,43.6884,22575675
1999-05-25,43.6386,44.269,42.0722,42.2562,41923815
1999-05-26,42.8104,43.6079,41.4839,43.438,63156592
1999-05-27,43.2595,44.0263,42.7074,43.3918,55050931
1999-05-28,43.6688,44.3531,43.1147,44.1171,30593098
1999-06-01,44.034,44.2414,42.8936,43.1355,16418908
1999-06-02,43.1147,44.0927,42.031,43.8637,28297503
1999-06-03,44.1926,44.1926,42.9727,43.2402,26296602
1999-06-04,43.5572,44.7154,43.5572,44.5647,30636051
1999-06-07,44.877,45.7766,44.7769,45.4925,27108157
1999-06-08,45.5914,45.8078,44.121,44.3473,19190563
1999-06-09,44.5088,45.2136,44.4815,45.0904,19779589
1999-06-10,44.6184,44.8808,44.0446,44.5811,22155672
1999-06-11,44.8798,44.9239,43.5005,43.901,39081704
1999-06-14,44.0604,44.0604,42.9678,43.0729,33350764
1999-06-15,43.1823,43.9733,43.0539,43.7139,21579481
1999-06-16,44.8093,45.9645,44.7545,45.9645,35523501
1999-06-17,45.3665,46.6867,45.3665,46.4724,38396155
1999-06-18,46.0418,46.8132,45.9665,46.6799,12722037
1999-06-21,47,48.1064,46.9228,48.0828,24922316
1999-06-22,47.7998,48.4108,46.6369,46.6369,25622775
1999-06-23,46.6439,47.4829,46.3422,47.3641,22661120
1999-06-24,47.3469,47.3729,46.2072,46.4294,35356511
1999-06-25,46.7406,47.1099,45.9439,46.3679,20369720
1999-06-28,46.7603,47.5307,46.3814,47.4652,18084467
1999-06-29,47.4249,48.3031,47.1901,48.1169,21230299
1999-06-30,48.1622,50.815,47.5954,48.8601,45921009
1999-07-01,49.0155,49.4689,48.1669,49.1891,16093501
1999-07-02,49.1792,49.8664,49.1792,49.8145,7788604
1999-07-06,50.076,50.5763,49.225,49.4915,20746270
1999-07-07,49.4671,49.7861,49.1205,49.5737,24815968
1999-07-08,49.5737,50.4372,49.3321,50.2343,26479194
1999-07-09,50.4174,50.7867,50.0447,50.7386,9924454
1999-07-12,50.9246,51.191,50.1826,50.4744,18436637
1999-07-13,50.2343,50.4213,49.8362,50.2343,14696250
1999-07-14,50.7436,51.19,50.025,51.0942,16298543
1999-07-15,51.2671,51.555,50.9845,51.555,15427252
1999-07-16,51.5884,52.3322,51.5667,52.0386,11590807
1999-07-19,52.2442,52.2442,51.2996,51.5051,16119756
1999-07-20,50.8788,50.952,49.3907,49.517,34999353
1999-07-21,49.6198,50.1845,49.2213,49.753,25903916
1999-07-22,49.7569,49.7569,48.3531,48.493,35733895
1999-07-23,48.8572,49.059,48.0593,48.5644,28578702
1999-07-26,47.9057,48.4372,47.2935,47.3729,25286231
1999-07-27,48.3225,49.0638,47.9116,48.3225,32397543
1999-07-28,48.9043,49.5395,48.2756,49.2703,23972314
