Date,Open,High,Low,Close,Volume
2005-02-25,92.7949,93.8716,92.7097,93.6948,79289004
2005-02-28,93.4735,93.5952,92.6083,93.0544,89985785
2005-03-01,93.1845,93.7683,93.1845,93.5386,61658442
2005-03-02,93.1749,94.0766,93.0735,93.4927,83253671
2005-03-03,93.8716,94.0575,93.1203,93.5301,80491538
2005-03-04,94.1512,94.7819,93.9675,94.7073,72809892
2005-03-07,94.6499,95.0882,94.4327,94.7456,56781312
2005-03-08,94.6594,94.8872,94.1991,94.3665,57895709
2005-03-09,94.1043,94.3378,93.3148,93.3232,95400795
2005-03-10,93.3329,93.7494,92.8868,93.5386,84641541
2005-03-11,93.778,93.9102,92.6907,92.8868,75346247
2005-03-14,92.8868,93.4833,92.8037,93.464,47099391
2005-03-15,93.6811,93.7226,92.6438,92.6812,80992092
2005-03-16,92.3499,92.5002,91.7421,91.9098,99446724
2005-03-17,92.0648,92.3777,91.7987,92.101,81318454
2005-03-18,91.8905,92.2321,91.1564,91.4504,80209634
2005-03-21,91.5871,91.6435,90.8453,91.1221,79620680
2005-03-22,91.3241,91.7519,90.2002,90.2002,120971319
2005-03-23,90.2195,90.8283,90.0836,90.274,93252232
2005-03-24,90.6289,91.0283,90.32,90.3851,67424176
2005-03-28,90.5909,90.991,90.5114,90.5114,60842798
2005-03-29,90.3851,90.9535,89.6961,89.9035,94676790
2005-03-30,90.2002,91.2022,90.0931,91.1841,81522073
2005-03-31,91.1938,91.3956,90.9258,91.0088,84310645
2005-04-01,91.5135,91.8072,90.2002,90.6001,126236623
2005-04-04,90.5564,90.9172,90.0739,90.7544,92814412
2005-04-05,90.854,91.3335,90.7897,91.1938,64910508
2005-04-06,91.3956,91.7708,91.1841,91.497,69097710
2005-04-07,91.3613,92.0177,91.277,92.0007,61209472
2005-04-08,91.9471,91.9843,91.0378,91.0378,83334418
2005-04-11,91.2597,91.3698,90.8979,91.1221,59436913
2005-04-12,90.9449,91.8619,90.32,91.5777,112205091
2005-04-13,91.4683,91.6617,90.3764,90.5027,85621141
2005-04-14,90.61,90.6635,89.3295,89.3295,129148331
2005-04-15,89.3036,89.6498,88.0295,88.0669,173763858
2005-04-18,88.0487,88.695,87.9176,88.3424,130023851
2005-04-19,88.8039,89.2758,88.5973,89.0537,88656624
2005-04-20,89.0451,89.2125,87.6027,87.7854,148844377
2005-04-21,88.5636,89.6596,88.2449,89.5083,113367309
2005-04-22,89.3036,89.8757,88.1665,89.1683,116441678
2005-04-25,89.3973,89.8757,89.2854,89.7505,67871463
2005-04-26,89.4795,90.0931,88.8363,88.8823,97680646
2005-04-27,88.6242,89.5533,88.2985,89.2315,110411018
2005-04-28,88.9359,89.2576,88.1119,88.1119,96261281
2005-04-29,88.7855,89.4069,87.9261,89.312,135165377
