Date,Open,High,Low,Close,Volume
2005-02-25,18.1432,18.3529,18.0671,18.3127,4749287
2005-02-28,18.4701,18.4701,18.1991,18.2823,4545883
2005-03-01,18.3071,18.3529,18.2475,18.3374,3459062
2005-03-02,18.1797,18.1991,18.014,18.0297,5502716
2005-03-03,18.1797,18.1797,17.9755,18.08,8027809
2005-03-04,18.2613,18.3374,18.2228,18.2989,3870677
2005-03-07,18.3529,18.4644,18.3446,18.4188,8517658
2005-03-08,18.4316,18.4316,18.2759,18.2759,5536418
2005-03-09,18.3071,18.3712,18.1432,18.1705,12680806
2005-03-10,18.0598,18.1432,17.9535,17.9975,9073711
2005-03-11,18.014,18.1432,17.8711,17.8957,10542064
2005-03-14,17.8473,17.9479,17.6925,17.7604,7069769
2005-03-15,17.6843,17.7311,17.3033,17.3171,13658107
2005-03-16,17.2291,17.3921,17.1019,17.1677,12615818
2005-03-17,17.1677,17.5066,17.1605,17.4828,7133557
2005-03-18,17.6046,17.6046,17.3491,17.4068,4858808
2005-03-21,17.4068,17.4151,17.1083,17.1531,10132850
2005-03-22,17.1229,17.3491,16.7868,16.8345,12590537
2005-03-23,16.6073,16.8701,16.6009,16.6229,13230840
2005-03-24,16.6824,16.8931,16.6009,16.6009,10136463
2005-03-28,16.8481,16.8481,16.6229,16.72,5854162
2005-03-29,16.6559,16.6559,16.2547,16.2877,13331939
2005-03-30,16.5185,16.7263,16.4068,16.6623,9805480
2005-03-31,16.6147,16.8931,16.6147,16.8345,11742021
2005-04-01,16.8931,17.3234,16.8931,16.9369,23771703
2005-04-04,17.0049,17.0049,16.773,16.9746,9135090
2005-04-05,16.9746,17.1019,16.9535,16.9663,8403321
2005-04-06,17.1019,17.4004,17.1019,17.198,10365139
2005-04-07,17.2731,17.3921,17.2291,17.3767,10087115
2005-04-08,17.3328,17.3565,17.2649,17.2968,6003402
2005-04-11,17.2291,17.2467,16.9746,17.1229,5831295
2005-04-12,17.1229,17.3399,16.862,17.3399,13173070
2005-04-13,17.251,17.251,16.9974,16.9974,10705751
2005-04-14,16.9369,16.9369,16.5487,16.5624,15422539
2005-04-15,16.4808,16.5854,16.1907,16.2117,14432004
2005-04-18,16.1055,16.4068,16.0825,16.4068,11319571
2005-04-19,16.5038,16.6824,16.5038,16.6824,14120277
2005-04-20,16.6972,16.6972,16.2877,16.2877,7838846
2005-04-21,16.4653,16.7647,16.4362,16.7585,10828515
2005-04-22,16.7062,16.72,16.4362,16.5707,4980373
2005-04-25,16.6687,16.8995,16.6393,16.8857,7070972
2005-04-26,16.773,16.8784,16.6687,16.7145,10310981
2005-04-27,16.5927,16.6687,16.4516,16.5624,7868937
2005-04-28,16.4808,16.4808,16.2639,16.2932,7828014
2005-04-29,16.4808,16.6623,16.3171,16.6229,12506289
2005-05-02,16.7062,16.9369,16.6009,16.7347,10800830
2005-05-03,16.7263,16.7951,16.6623,16.72,5613449
2005-05-04,16.773,17.2291,16.773,17.1761,18720316
2005-05-05,17.2291,17.3767,17.0496,17.2649,11490477
2005-05-06,17.2467,17.3767,17.2467,17.3097,6938576
2005-05-09,17.1843,17.3767,17.1843,17.3234,3147333
2005-05-10,17.1157,17.1761,16.9369,16.9369,15125258
2005-05-11,17.0213,17.0332,16.8025,17.0213,6170701
2005-05-12,16.9827,17.0268,16.6824,16.7263,9706787
2005-05-13,16.773,16.773,16.5185,16.556,18784106
2005-05-16,16.6477,16.751,16.5487,16.751,8091599
2005-05-17,16.6393,16.8097,16.5854,16.7585,7746172
2005-05-18,16.8097,17.1843,16.8097,17.0936,12263168
2005-05-19,17.1385,17.1907,17.0797,17.1531,5850550
2005-05-20,17.0863,17.1157,16.9827,17.1083,4016307
2005-05-23,17.0406,17.198,17.0268,17.1677,5745842
2005-05-24,17.0797,17.1157,17.0496,17.1157,3755136
2005-05-25,17.0797,17.0797,16.9746,16.9974,2818760
2005-05-26,17.0797,17.2291,17.0797,17.1843,3013737
2005-05-27,17.2595,17.3234,17.2209,17.3033,1902840
2005-05-31,17.2649,17.2649,17.1311,17.1531,3983817
2005-06-01,17.1019,17.3713,17.0936,17.3565,17109942
2005-06-02,17.3328,17.4911,17.3171,17.4828,5401619
2005-06-03,17.4911,17.5569,17.3628,17.3921,7553603
2005-06-06,17.4379,17.5716,17.4004,17.5716,4225732
2005-06-07,17.535,17.6467,17.4619,17.4828,6771279
2005-06-08,17.5424,17.5963,17.4151,17.4151,4413486
2005-06-09,17.4068,17.7082,17.2887,17.5066,3371599
2005-06-10,17.9535,17.9535,17.4379,17.5569,2145165
2005-06-13,17.5799,17.6843,17.5066,17.6238,3291358
2005-06-14,17.6624,17.6998,17.5963,17.6998,4691917
2005-06-15,17.6998,17.8363,17.6386,17.8363,6101294
2005-06-16,17.8052,18.0212,17.8052,17.9901,9568777
2005-06-17,18.0297,18.2228,18.0297,18.2063,12577301
2005-06-20,18.0297,18.0873,17.917,18.0452,4151511
